nome,sigla,cnpj,endereco,municipio.nome,municipio.uf,cep,telefone
REITORIA,REITORIA,10.783.898/0001-75,"Av. João da Mata, 256 - Jaguaribe",JOÃO PESSOA,PB,58015-020,(83) 3612.9701
CAMPUS JOÃO PESSOA,CAMPUS-JP,10.783.898/0002-56,"Av. Primeiro de Maio, 720 - Jaguaribe",JOÃO PESSOA,PB,58015-435,(83) 3612.1200
CAMPUS CAMPINA GRANDE,CAMPUS-CG,10.783.898/0003-37,"R. Tranqüilino Coelho Lemos, 671 - Dinamérica",CAMPINA GRANDE,PB,58432-300,(83) 2102.6200
CAMPUS SOUSA,CAMPUS-SS,10.783.898/0004-18,"Av. Pres. Tancredo Neves, s/n - Jardim Sorrilandia",SOUSA,PB,58800-970,(83) 3522.2727
CAMPUS CAJAZEIRAS,CAMPUS-CZ,10.783.898/0005-07,"Rua José Antônio da Silva, 300 - Bairro Jardim Oásis",CAJAZEIRAS,PB,58.900-000,(83) 3532-4100
CAMPUS PATOS,CAMPUS-PT,10.783.898/0006-80,"BR 110, s/n, Alto da Tubiba",PATOS,PB,58700-000,
CAMPUS PRINCESA ISABEL,CAMPUS-PI,10.783.898/0007-60,"BR 426, S/N, Zona Rural / Sítio Barro Vermelho",PRINCESA ISABEL,PB,58755-000,(83) 3065.4901
CAMPUS MONTEIRO,CAMPUS-MT,10.783.898/0008-41,"PB-264, S/N - Serrote",MONTEIRO,PB,58500-000,(83) 3351-3700
CAMPUS PICUÍ,CAMPUS-PC,10.783.898/0009-22,"PB 151, S/N, Cenecista",PICUÍ,PB,58187-000,(83) 3371.2555
CAMPUS CABEDELO,CAMPUS-CB,10.783.898/0010-66,"Rua Santa Rita de Cássia, 1900 - Jardim Camboinha",CABEDELO,PB,58103-772,(83) 3248.5400
CAMPUS GUARABIRA,CAMPUS-GB,10.783.898/0011-47,"Rua Prof. Carlos Leonardo Arcoverde, S/N, Km 02, PB-057",GUARABIRA,PB,58200-000,(83) 98195-6465
CAMPUS SANTA RITA,CAMPUS-SR,10.783.898/0012-28,"BR230, km 42, S/N, Bairro Popular",SANTA RITA,PB,58.301-645,
CAMPUS ESPERANÇA,CAMPUS-ES,10.783.898/0013-09,PB 121,ESPERANCA,PB,58135-000,
CAMPUS ITABAIANA,CAMPUS-IB,10.783.898/0014-90,"Rodovia PB 054, Km 17, Alto Alegre",ITABAIANA,PB,58360-000,(83) 99116.6632
CAMPUS CATOLÉ DO ROCHA,CAMPUS-CR,10.783.898/0015-70,"Rua Cícero Pereira de Lima, 227 - João Pereira de Lima",CATOLÉ DO ROCHA,PB,58884-000,(83) 99126 1908
CAMPUS ITAPORANGA,CAMPUS-IP,10.783.898/0016-51,BR 361 - Km 116,ITAPORANGA,PB,58780-000,
CAMPUS SANTA LUZIA,CAMPUS-SL,10.783.898/0017-32,"Avenida Professora Dorinha Eugênia, Cidade Universitária, S/N",SANTA LUZIA,PB,58.600-000,(83)99862.1074
CAMPUS PEDRAS DE FOGO,CAMPUS-PF,10.783.898/0018-13,"Rua Monsenhor José da Silva Coutinho, S/N – Centro",PEDRAS DE FOGO,PB,58328-000,
CAMPUS SOLEDADE,CAMPUS-SD,10.783.898/0019-02,"Rodovia PB 411, Km 03, Sítio Farias",SOLEDADE,PB,58155-000,